,paradicsom,paprika,tök,kukorica,napraforgó,cékla,káposzta,korai burgonya,bab,uborka,retek,kapor,körömvirág,saláta,brokkoli,répa,hajdina,büdöske,spenót,hagyma,borsó,szamóca,bazsalikom,padlizsán,cukkini,póréhagyma,petrezselyem,rukkola,fokhagyma,luffatök,sarkantyúka,kelkáposzta,paszternák,zeller
paradicsom,,,,,3,,2,1,,,,2,3,,2,2,,3,,2,,,2,,,2,3,2,2,,3,2,,
paprika,2,,,,3,,,,,,,1,3,,,2,,3,,,,,3,2,,,2,,,,3,,,
tök,,,,3,2,1,,1,3,,,3,3,,,,,3,,1,,,,,1,1,,,1,,3,,,
kukorica,,,3,,3,,,2,3,2,,3,3,,,,,3,3,,2,,,,,,3,,,3,3,,,
napraforgó,,,2,3,,,,,,,,3,3,,,,,3,,2,,,,,2,2,,,2,2,3,,,
cékla,,,,,,,2,,2,,,3,3,2,2,,,3,,3,,,,,,3,,1,3,,3,,,
káposzta,3,,,,,,,,,,,2,3,,2,,,3,2,,,1,,,,,,,2,,3,,,2
korai burgonya,1,,2,2,1,,2,,3,1,,1,3,,2,,,3,,,2,,3,2,2,,,,,2,3,2,,
bab,,,2,3,3,1,2,3,,2,2,3,3,,,2,,3,,1,,2,,,,1,,,1,2,3,,,
uborka,,,,3,3,,2,2,2,,3,3,3,,,,,3,,,,,,,,,,,,,3,,,
retek,2,2,,,,,,,2,,,3,3,2,,,,3,2,,2,,,2,,,,,,,3,2,3,
kapor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
körömvirág,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saláta,,,,,,2,1,,,,2,3,3,,1,2,,3,,3,,2,,,,3,,,3,,3,1,3,
brokkoli,,,,,,2,,,,,,2,3,,,2,2,3,,2,,1,,,,2,,,2,,3,,,
répa,1,,,,,,2,2,,,2,1,3,2,,,,3,,3,2,,,,,3,,,,,3,,,
hajdina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
büdöske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spenót,2,2,,,,,2,1,2,2,2,2,3,2,2,2,,3,,3,,2,,2,2,3,2,,3,,3,2,,2
hagyma,,,,,,2,2,,1,,,3,3,2,2,2,,3,,,1,,,,,,,,,,3,2,3,
borsó,,,,2,,,,2,2,2,2,3,3,,,2,,3,,1,,,,,,1,,,1,,3,,,
szamóca,,,,,,,1,,2,,,3,3,2,1,,,3,2,,,,,,,,,,,,3,1,,
bazsalikom,3,3,,,,,,,,,,3,3,3,,,,3,,,,,,,,,,,,,3,,,
padlizsán,,2,1,1,,,,,3,,,1,3,,,,,3,2,,3,,,,,,,,,1,3,,,
cukkini,,,1,2,,,,1,2,,3,3,3,,,,,3,2,,2,,,,,,,,3,1,3,,,
póréhagyma,,,,,,2,2,,1,,,3,3,2,2,2,,3,,,1,,,,,,,,,,3,2,3,
petrezselyem,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
rukkola,1,1,,,,2,,1,3,2,2,3,3,2,,2,,3,2,2,3,1,,1,,2,,,2,,3,,,
fokhagyma,,,,,,2,2,,1,,,3,3,2,2,2,,3,,,1,,,,,,,,,,3,2,3,
luffatök,,,,3,2,1,,1,3,,,3,3,,,,,3,,1,,,,,1,1,,,1,,3,,,
sarkantyúka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kelkáposzta,,,,,,,2,,1,,,2,3,,2,,2,3,,,,1,,,,,,,,,3,2,,
paszternák,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
zeller,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
