,light_full,light_mid,light_low,water_full,water_mid,water_low,family
paradicsom,1,,,1,2,,Solanaceae
paprika,1,,,1,2,,Solanaceae
tök,1,,,1,2,,Cucurbitaceae
kukorica,1,,,1,2,,Poaceae
napraforgó,1,,,1,2,,Asteraceae
cékla,,2,,1,2,,Amaranthaceae
káposzta,1,,,1,2,3,Brassicaceae
korai burgonya,,2,,1,2,,Solanaceae
uborka,1,,,1,2,,Cucurbitaceae
retek,,2,,1,,,Brassicaceae
kapor,1,,,1,2,,Apiaceae
körömvirág,1,2,,,,3,Asteraceae
saláta,,,3,1,2,,Asteraceae
brokkoli,1,,,1,2,3,Brassicaceae
répa,,2,,1,2,,Apiaceae
hajdina,1,,,,,,Polygonaceae
büdöske,1,2,3,,2,,Asteraceae
spenót,,,3,1,2,,Amaranthaceae
hagyma,1,2,3,,,3,Alliaceae
borsó,1,,,1,2,,Fabaceae
szamóca,1,,,,2,3,Rosaceae
bazsalikom,1,,,1,2,,Lamiaceae
padlizsán,1,,,1,2,,Solanaceae
bab,1,,,1,2,,Fabaceae
cukkini,1,,,1,2,,Cucurbitaceae
póréhagyma,1,,,,,3,Alliaceae
petrezselyem,,2,3,1,2,,Apiaceae
rukkola,,,3,1,2,,Brassicaceae
fokhagyma,1,2,3,,,3,Alliaceae
luffatök,1,,,1,2,,Cucurbitaceae
sarkantyúka,1,,,,2,,Tropaeolaceae
kelkáposzta,1,,,1,2,3,Brassicaceae
paszternák,,2,,1,2,,Apiaceae
zeller,,2,,1,2,,Apiaceae
